,source_name,title,link,p_date
0,mail.ru,Жительница Таиланда умерла после прививок разными вакцинами ,https://news.mail.ru/incident/47242615/,
1,mail.ru,В конкурсе фотографий на телефон победила жительница России,https://news.mail.ru/society/47231921/,
2,mail.ru,Уткин назвал главную ошибку назначения Карпина в сборную России,https://sportmail.ru/news/football-national/47241726/,
3,mail.ru,"США и Евросоюз призвали прекратить наступление в Афганистане
",https://news.mail.ru/politics/47242367/,
4,mail.ru,Умер прогнавший американский крейсер контр-адмирал Богдашин,https://news.mail.ru/incident/47234020/,
5,mail.ru,День в истории: изобретение растворимого кофе ,https://news.mail.ru/society/42618861/,
6,mail.ru,"Говорящих по телефону водителей начнут штрафовать по камерам 
",https://news.mail.ru/society/47242554/,
7,mail.ru,Минтруд объяснил порядок обязательной вакцинации россиян,https://news.mail.ru/politics/47240630/,
8,lenta.ru,Мэр российского города заразился коронавирусом,/news/2021/07/24/nadsadin/," 08:59, 24 июля 2021"
9,lenta.ru,Россиянин на BMW преградил путь водителю скорой помощи и попал на видео,/news/2021/07/24/bmw/," 08:52, 24 июля 2021"
10,lenta.ru,Названы регионы России с наиболее страдающим от ожирения населением,/news/2021/07/24/ozhirenie/," 08:46, 24 июля 2021"
11,lenta.ru,Россиянка сравнила себя с роботом после первой медали на Олимпиаде в Токио,/news/2021/07/24/strelba/," 08:40, 24 июля 2021"
12,lenta.ru,Российский гимнаст заплакал во время выступления на Олимпиаде,/news/2021/07/24/dalaloyan/," 08:38, 24 июля 2021"
13,lenta.ru,В американском штате выявили чуму,/news/2021/07/24/plague/," 08:30, 24 июля 2021"
14,lenta.ru,Москвичам спрогнозировали дождливую погоду в конце июля ,https://moslenta.ru/news/moskvicham-sprognozirovali-dozhdlivuyu-pogodu-v-konce-iyulya-24-07-2021.htm/?utm_source=from_lenta," 08:27, 24 июля 2021"
15,lenta.ru,В США появились «вопросы» к российскому Су-75,/news/2021/07/24/su75/," 08:05, 24 июля 2021"
16,lenta.ru,Украинский футболист объяснил отказ играть в России фразой «Я все же из Львова»,/news/2021/07/24/yakubov/," 08:04, 24 июля 2021"
17,lenta.ru,Посольство России потребовало от МОК исправить карту с «украинским» Крымом,/news/2021/07/24/mok_krym/,
18,lenta.ru,Россия завоевала первую медаль на Олимпийских играх в Токио,/news/2021/07/24/first/,
19,lenta.ru,Бывший генерал полиции ответил на информацию о ликвидации ГИБДД в России,/news/2021/07/24/gibddrussia/,
20,lenta.ru,Wildberries оказался под угрозой закрытия на Украине,/news/2021/07/24/wildberries/,
21,lenta.ru,Россиянам без прививок назвали условие отстранения от работы без зарплаты,/news/2021/07/24/otstraneniye/,
22,lenta.ru,Россиянам рассказали о последствиях принятия нового закона о соседях,/news/2021/07/24/neighbours/,
23,lenta.ru,Карпину дали советы после его назначения главным тренером сборной России,/news/2021/07/24/sbornaya/,
24,lenta.ru,Зеленский ввел санкции против богатейшей женщины России,/news/2021/07/23/sankcii/,
25,lenta.ru,Минтруд назвал условие отстранения непривитых россиян без сохранения зарплаты,/news/2021/07/23/rostrud/,
26,lenta.ru,В США нашли возможность уничтожить «Северный поток-2»,/news/2021/07/23/usaunicht/,
27,yandex.ru,"Работодателям необходимо отстранять от работы без сохранения зарплаты сотрудников, которые отказываются вакцинироваться от коронавируса без уважительной причины.",https://yandex.ru/news/story/Mintrud_razreshil_otstranyat_rabotnikov_otkazavshikhsya_otvakcinacii--18be2aba3c6f544e13b0e074dc97b4ec?lang=ru&rubric=index&fan=1&stid=EyxwbPaNY-IXz3JhxB89&t=1627106327&tt=true&persistent_id=153902381,
28,yandex.ru,"Эвакуация населения в Сочи не требуется, сообщили РИА Новости в МЧС России.",https://yandex.ru/news/story/MCHS_ne_vidit_neobkhodimosti_vehvakuacii_naseleniya_Sochi_posle_silnogo_dozhdya--5be80e93e6a78de8741c472bdbe02cb4?lang=ru&rubric=index&fan=1&stid=8BC_2DgCqpZHxxPZQg05&t=1627106327&tt=true&persistent_id=153891683,
29,yandex.ru,"Карпин назвал работу в сборной России ответственным и интересным этапом в карьере // Дюков прокомментировал назначение Карпина на пост главного тренера сборной России Напомним, что после Евро-2020 пост главного тренера сборной России покинул Станислав Черчесов.",https://yandex.ru/sport/story/Valerij_Karpin_naznachen_novym_glavnym_trenerom_sbornoj_Rossii_posovmestitelstvu--eaca697997aabcf3c0c3dd399e605324?lang=ru&rubric=index&fan=1&stid=YwLH0oyo56xMj8GbC3CB&t=1627106327&tt=true&persistent_id=153887168&utm_source=yxnews&utm_medium=desktop,
30,yandex.ru,"Банк России по итогам заседания совета директоров в четвертый раз подряд повысил ключевую ставку, на этот раз сразу на один процентный пункт — до 6,5% годовых.",https://yandex.ru/news/story/Bank_Rossii_povysil_klyuchevuyu_stavku_srazu_do65_procenta_godovykh--32d101a171f826f01ecf190506de4550?lang=ru&rubric=index&fan=1&stid=xFOvzoQJk06kZ9WhzIdC&t=1627106327&tt=true&persistent_id=153817703,
31,yandex.ru,"В суде установили, что в декабре 2011 года главный врач ФГУЗ «Центр гигиены и эпидемиологии в Краснодарском крае» Владимир Пархоменко получил взятку в 1,2 млн рублей от коммерческой организации за продление договоров на оказание услуг по оформлению личных медицинских книжек, а также за покровительство по службе.",https://yandex.ru/news/story/EHks-glavvrach_Centra_gigieny_i_ehpidemiologii_kraya_poluchil_8_let_kolonii_zavzyatku--6b8e67dd701a4dd3bd9e42b50c4d74cd?lang=ru&rubric=Krasnodar&fan=1&stid=Mk9PI7J81JcRaxn1rdQR&t=1627106327&persistent_id=153866074,
32,yandex.ru,"Один из крупнейших российских ритейлеров ""Магнит"" закрыл сделку по приобретению 2 477 магазинов ""Дикси"", цена сделки на момент закрытия составила 87,6 миллиарда рублей, сообщила компания.",https://yandex.ru/news/story/Magnit_zakryl_sdelku_popriobreteniyu_magazinov_Diksi_nasummu_876_milliarda_rublej--58dee0ef53b2139d556fed73b595ee3b?lang=ru&rubric=personal_feed&fan=1&stid=BnFxsIR8TbCY1CYmOGQM&t=1627106327&persistent_id=153807835,
